Company Name,Website Link,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size
Quilter Financial Advisers Ltd,,,,,
Pilling Financial Ltd,pillingfinancial.co.uk,I - IFA,No,,1
Northumbrian Financial Ltd,northumbrianfinancial.com,I - IFA,No,,
Wellway Wealth Management LLP,wellwaywealth.co.uk,I - IFA,No,,
TMP Wealth Management Ltd,tmpwealthmanagement.co.uk,I - IFA,No,11-50,21
Henderson Independent Financial Management Limited,2plan.com,I - IFA,No,201-500,323
Olivia Henny,fealtywm.co.uk,I - IFA,No,1,
Paul Waddington Financial Planning Ltd,mandgwealth.com/paulwaddingtonfinancialplanning,I - IFA,No,"5,001-10,000",2710
Masterman Financial Services LTD,,,,,
Financially Sound Ltd,financially-sound.co.uk,I - IFA,No,,
Paul Gebbie,,,,,
Bentley Brown & Co Ltd,bentleybrownandco.co.uk,I - IFA,No,1-10,3
Simon P Dermont Financial Consultants Limited,,,,,
Richmond IFA Ltd,richmondifa.com,I - IFA,No,,
Joseph Donkin,partnership.sjp.co.uk/partner/josephdonkin,I - IFA,No,"1,001-5,000",3514
DJC Financial Services,djcfinancialservices.co.uk,I - IFA,No,11-50,
Phil Walker Wealth Management,sjpp.co.uk/philwalker,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514
Professional Partnerships (North East) Ltd,rwpfg.co.uk,I - IFA,No,,
Perspective (North East) Limited,pfgl.co.uk/northeast,I - DFM without Centralised Research; I - IFA,No,201-500,260
Tier One Capital Ltd,tieronecapital.co.uk,I - Asset Manager without Multi-Asset; I - IFA,No,11-50,14
Greenarch Wealth Management Limited,greenarch.uk,I - IFA,No,,
Tier One Capital Wealth Management Limited,tieronecapital.co.uk,I - Asset Manager without Multi-Asset; I - IFA,No,11-50,14
Financial Direction (Northumberland) Ltd,fdnorth.com,I - IFA,No,,
Louise Atkinson,,,,,
Lamb and Associates Independent Financial Planning Ltd,lambfinancial.co.uk,I - IFA,No,1-10,6
Integrated Financial Solutions For You Ltd,openwork.uk.com,I - IFA,No,"501-1,000",753
Sleight Wealth Management Limited,sleightwm.co.uk,I - IFA,No,1-10,
Denton Woodhouse Limited,dentonwoodhouse.co.uk,I - IFA,No,11-50,5
Jobling Wealth Management Limited,joblingwm.co.uk,I - IFA,No,1-10,7
Michael Seery Financial Planning Ltd,mandgwealth.com/michaelseeryfinancialplanning,I - IFA,No,"5,001-10,000",2710
Keith Simpson,absoluteifa.com,I - IFA,No,201-500,172
Caroline Anderson IFA LTD,truepotential.co.uk,I - IFA,No,201-500,1064
David Goodwin,sjpp.co.uk/davidgoodwin,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514
A & K Financial Management Limited,akfm.co.uk,I - IFA,No,,
J McBlain Financial Planning Ltd,partnership.sjp.co.uk/partner/juliemcblain,I - IFA,No,"1,001-5,000",3514
Ford IFA Limited,fordharrisonifa.co.uk,I - IFA,No,,
G & S Investment & Mortgages Ltd,gs-inv-mort.co.uk,I - IFA,No,,
Faramond UK Limited,faramond.com,I - IFA,No,,
Plain Savings Ltd,plainsavings.co.uk,I - IFA,No,1-10,3
Hibbert Wealth Management Limited,hibbertwealthmanagement.co.uk,I - IFA,No,1-10,5
DW Wealth Management Ltd,dwwealthmangement.co.uk,I - IFA,No,,
Berkley Wilkinson Wealth Management Ltd,,,,,
Azets Wealth Management Limited,azetswealthmanagement.co.uk,I - IFA,No,51-200,40
Co-Navigate Limited,co-navigate.co.uk,I - IFA,No,1-10,5
Lucror Limited,lucror.co.uk,I - IFA,No,1-10,1
Reeves Independent Limited,reevesifa.com,I - IFA,No,51-200,188
Reeves Financial Services Limited,reevesfinancialservices.com,I - IFA,No,1-10,2
Newcastle Financial Planning Ltd,newcastlefinancialplanning.co.uk,I - IFA,No,,
H C F Wealth Management Limited,2plan.com,I - IFA,No,201-500,323
AFT Wealth Management Ltd,,,,,
Money Penny Wealth Management Limited,mpwealth.co.uk,I - IFA,No,,
Taylor Hartley Limited,taylorhartley.com,I - IFA,No,,
Marshall Pension & Financial Planning Ltd,marshallpfp.co.uk,I - IFA,No,,
Fergus Westwood,claytondenefp.co.uk,I - IFA,No,,
Newcastle Financial Advisers Limited,newcastle.co.uk,I - IFA,No,"1,001-5,000",839
Four Rivers Financial Planning Limited,mandg.com,I - Asset Manager with Multi-Asset; I - IFA,No,"5,001-10,000",2710
River Birch Newman Limited,rbnwealth.com,I - IFA,No,1-10,10
Lowes Financial Management Limited,lowes.co.uk,I - Asset Manager without Multi-Asset; I - IFA,No,51-200,152
Professional Wealth Management Ltd,professionalwealthmanagement.co.uk,I - IFA,No,,
Professional Wealth Management (Yorkshire) Ltd,pwmy.co.uk,I - IFA,No,,
Professional Wealth Management Investment Services Limited,pwmis.co.uk,I - IFA,No,,
Robson Laidler Financial Planning Limited,robson-laidler.co.uk/wealth,I - IFA,No,51-200,79
Walker Harrison Associates,rbsint.com,I - IFA,No,,
Chris Gooding (IFA) Ltd,chris-gooding.co.uk,I - IFA,No,,
Portland Financial Management Limited,pfm-uk.com,I - IFA,No,,
Laurus Associates Limited,laurusassociates.co.uk,I - IFA,No,1-10,8
Karen Richardson Financial Services Limited,krfinancialservices.co.uk,I - IFA,No,,
Broad Chare Partnership LLP,broadcharepartners.co.uk,I - IFA,No,11-50,10
True Potential Wealth Management LLP,tpllp.com,I - Asset Manager with Multi-Asset; I - IFA,No,201-500,1064
Henry F Dodds Wealth Management Limited,hfdoddswealth.co.uk,I - IFA,No,,
Penda Financial Management Ltd,pendafm.co.uk,I - IFA,No,,
Giraffe Financial LLP,giraffefinancial.com,I - IFA,No,11-50,4
Charles Derby Wealth Management Limited,charlesderbywm.com,I - IFA,No,,
Womble Bond Dickinson Wealth Limited,womblebonddickinsonwealth.com,I - IFA,No,"1,001-5,000",1020
Leazes Quadrus Financial Planning Ltd,leazesquadrus.co.uk,I - IFA,No,,
Jesalant Limited,lsmwealth.co.uk,I - IFA,No,1-10,2
Lycetts Financial Services Limited,lycetts.co.uk,I - IFA,No,201-500,226
Howard Muir Associates LLP,investmentcompanion.com,I - IFA,No,,
2mtrust,2mtrust.com,I - IFA,No,11-50,20
Kevin Gardner,gardnerwealthmanagement.co.uk,I - IFA,No,,
Rutherford Hughes Limited,rutherfordhughes.com,I - IFA,No,,
Ben Hughes,doxfordfinancial.co.uk,I - IFA,No,,
Murray Trudt,partnership.sjp.co.uk/partner/murraytrudt,I - IFA,No,"1,001-5,000",3514
Simon Quinlan,quinlanfp.co.uk,I - IFA,No,,
Stephen King,kingwealthmanagement.co.uk,I - IFA,No,,
Chris Davis,haywarddavis.co.uk,I - IFA,No,,
Southlands Financial Services Ltd,southlandsfinancialservicesltd.co.uk,I - IFA,No,,
Zebra Wealth Management Limited,partnership.sjp.co.uk/partner/stevenbates,I - IFA,No,"1,001-5,000",3514
Abacus Wealth Management Ltd,abacuswm.co.uk,I - IFA,No,11-50,5
Meridian Advice,meridianadvice.co.uk,I - IFA,No,1-10,6
Jo-Ann Dalrymple,partnership.sjp.co.uk/partner/joanndalrymple,I - IFA,No,"1,001-5,000",3514
The Grove Private Wealth Ltd,thegroveprivatewealthltd.co.uk,I - IFA,No,,
Anne Gibson Financial Services,annegibsonsjp.co.uk/partner/annegibsonfinancial,I - IFA,No,,
Matthew Ife,matthewife.co.uk,I - IFA,No,,
Eric Dhugal Bennett,,,,,
Claire McKenna,,,,,
Ryan McGuinness,1894privatewealth.co.uk,I - IFA,No,,
Natalie Turner,natalieturnerwealthmanagement.co.uk,I - IFA,No,,
George Barker,,,,,
Crathorne Wealth Management Ltd,partnership.sjp.co.uk/partner/crathornewm,I - IFA,No,"1,001-5,000",3514
Tulloch Wealth Management Limited,partnership.sjp.co.uk/partner/samanthatulloch,I - IFA,No,"1,001-5,000",3514
Carl Turnbull,sjpp.co.uk/carlturnbull,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514
Prism Financial Advice Limited,prismadvice.co.uk,I - IFA,No,51-200,42
Bruce & Co Legal & Financial Ltd,bruce-ifa.co.uk,I - IFA,No,,
Steven Wombwell,stevewombwell.co.uk,I - IFA,No,,
Shaun Carr Financial Services Limited,shauncarrfinancialservices.co.uk,I - IFA,No,,
Peritus Private Finance Limited,peritusprivatefinance.co.uk,I - IFA,No,11-50,8
Michael Westwood,michaelwestwoodwealthmanagement.co.uk,I - IFA,No,,
John Wight,johnwightwealthmanagement.co.uk,I - IFA,No,,
Baxter Pearse Financial Consultants Limited,baxterpearse.co.uk,I - IFA,No,1-10,
WPS ADVISORY Ltd,wpsadvisory.com,I - IFA,No,51-200,54
Quay Life Wealth Management Ltd,quaylifewm.co.uk,I - IFA,No,,
Clare Clarkson Wealth Management Limited,clareclarkson.co.uk,I - IFA,No,,
Accura Wealth Management Ltd,allisonandhall.com,I - IFA,No,1-10,
Global Wealth Management Limited,chrisbuckland.co.uk,I - IFA,No,,
Hollycroft Financial Services Ltd,hollycroftfs.co.uk,I - IFA,No,1-10,4
HRC Innovative Financial Planning Ltd,hrcgroup.net,I - IFA,No,1,11
Daniel Atkinson,,,,,
B-Advised Ltd,b-advised.co.uk,I - IFA,No,11-50,8
Global Expatriates Limited,globalexpatriates.co.uk,I - IFA,No,,
Trust KB2 Limited,trustkb.co.uk,I - IFA,No,,
Seven Stars Private Wealth Limited,2plan.com,I - IFA,No,201-500,323
Amethyst Independent Financial Advisers LLP,amethyst-ifa.com,I - IFA,No,1-10,3
Bede Wealth Management Limited,bedewealth.co.uk,I - IFA,No,,
HJ Wealth Management Ltd,hjwm.co.uk,I - IFA,No,,
M.R.C Financial Planning Ltd,,,,,
Carr Financial Planning Ltd,carrfinancialplanning.co.uk,I - IFA,No,,
Smithson Wealth Management Limited,partnership.sjp.co.uk/partner/smithsonwm,I - IFA,No,"1,001-5,000",3514
Philip Lancaster,partnership.sjp.co.uk/partner/philiplancaster,I - IFA,No,"1,001-5,000",3514
Mark Patterson Financial Planning Limited,partnership.sjp.co.uk/partner/markpattersonfp,I - IFA,No,"1,001-5,000",3514
Steadfast Wealth Management Ltd,steadfastwm.co.uk,I - IFA,No,1-10,
Longsands Financial Planning Ltd,longsandsfp.co.uk,I - IFA,No,,
Cornerstone Financial Group Ltd,firstmortgage.co.uk,I - IFA,No,51-200,117
RJH Mortgage and Financial Services Limited,,,,,
Aviyon Finance Ltd,,,,,
David Ridley,reliancefinancial.co.uk,I - IFA,No,,
Bonnie Robinson,,,,,
Financial Solutions (N.E.) Ltd,financialsolutionsne.co.uk,I - IFA,No,,
Joseph Ferguson,mandg.com,I - Asset Manager with Multi-Asset; I - IFA,No,"5,001-10,000",2710
Andrew Christopher Wright,,,,,
Stephen Burns Financial Planning,stephen-burns.co.uk,I - IFA,No,,
Milburn Davies Partnership Limited,milburndavies.co.uk,I - IFA,No,1-10,7
Rippon Financial Management Limited,rfmltd.co.uk,I - IFA,No,,
Craig Giles Wealth Management LTD,mandgwealth.com/craiggileswealthmanagement,I - IFA,No,"5,001-10,000",2710
Stephen McDine Limited,positivewealthmanagement.tppowered.com,I - IFA,No,,
Seven Bridges IM Ltd,sevenbridgesim.co.uk,I - IFA,No,1-10,7
Wellspring Financial,wellspringfinancial.co.uk,I - IFA,No,1-10,4
Intouch Financial Advice Limited,intouchfinancial.uk.com,I - IFA,No,11-50,19
James Hutchins,partnership.sjp.co.uk/partner/jameshutchins,I - IFA,No,"1,001-5,000",3514
Nine Oak Financial Management,nineoak.co.uk,I - IFA,No,,
Peacock Financial Management Ltd,pfm-ltd.com,I - IFA,No,,
Paul Whitehead,pwfinancialservices.co.uk,I - IFA,No,,
Jason Savage Financial Planning Limited,,,,,
Aspire Wealth Limited,aspirewealthlimited.co.uk,I - IFA,No,,
Emerald Financial Associates Ltd,emeraldassociates.co.uk,I - IFA,No,,
Byron Longstaff Independent Financial Consultancy Ltd,,,,,
Patrick McLaughlin,northwealthmanagement.co.uk,I - IFA,No,,
Halcyon Wealth Management Ltd,halcyonwm.co.uk,I - IFA,No,,
McLean Financial Planning,,,,,
MFS Limited,mfs-limited.co.uk,I - IFA,No,,
Verity Wealth Management LLP,veritywm.co.uk,I - IFA,No,,
Dean Gillespie Financial Advice LTD,mandgwealth.com/deangillespiefinancialadvice,I - IFA,No,"5,001-10,000",2710
Stephen Boyle Wealth Management Limited,stephenboylewealthmanagement.co.uk,I - IFA,No,,
Wood Kirkbride Independent Financial Advisers Limited,woodkirkbride-ifa.com,I - IFA,No,,
Anthony Cunningham,cwfinancialmanagement.co.uk,I - IFA,No,,
BMC Wealth Management LTD,mandgwealth.com/bmcwealthmanagement,I - IFA,No,"5,001-10,000",2710
Northern Spire Limited,sjpp.co.uk/northernspire,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514
Access Wealth Management,accesswm.co.uk,I - IFA,No,11-50,1
Lifeplan Financial Management Limited,lifeplanfm.co.uk,I - IFA,No,1-10,
Life Cover For All Limited Liability Partnership,lifecoverforall.co.uk,I - IFA,No,,
Joseph Bonallie,ifne.co.uk,I - IFA,No,,
CDC Wealth Management Limited,cdcwm.com,I - IFA,No,11-50,6
Suzy Hall,,,,,
Jim Paul and Associates Limited,jimpaulassociates.co.uk,I - IFA,No,,
Advanced IFA Ltd,advancedifa.co.uk,I - IFA,No,1-10,3
MJW Financial Planning Ltd,mjwfinancialplanning.co.uk,I - IFA,No,,
Matlock Wealth Management Limited,sjpp.co.uk/darrenmatlock,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514
Mark McNally Wealth Management Limited,sjpp.co.uk/markmcnally,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514
GKB Financial Planning Ltd,gkbfinancialplanning.co.uk,I - IFA,No,,
KSM Associates Independent Financial Advisers Limited,ksm-associates.co.uk,I - IFA,No,,1
Adamson Financial Planning LTD,mandg.com/adamsonfinancialplanning,I - Asset Manager with Multi-Asset; I - IFA,No,"5,001-10,000",2710
Pia Financial Services Ltd,openwork.uk.com,I - IFA,No,"501-1,000",753
Dracup Financial Services Limited,partnership.sjp.co.uk/partner/neildracup,I - IFA,No,"1,001-5,000",3514
Kinetic Private Investments Limited,kpi.co.uk,I - IFA,No,,
Stephen Hope,stephenhopewealthmanagement.com,I - IFA,No,1-10,6
Saxon Financial Advice Limited,saxonfinancialadvice.co.uk,I - IFA,No,,
TTR Barnes (Financial Services) Limited,key-wealth.com,I - IFA,No,1-10,9
Later Life Wealth Management Limited,laterlifewealthmanagement.co.uk,I - IFA,No,,
Harlands Wealth Management Ltd,hwmfinancial.co.uk,I - IFA,No,,
Morrell Financial Management Ltd,morrellfinancialmanagement.com,I - IFA,No,1-10,5
Scrimger & Oakes Limited,scrimgerandoakes.co.uk,I - IFA,No,11-50,5
Three Counties Limited,three-counties.co.uk,I - IFA,No,11-50,17
Richardson & Associates Independent Financial & Mortgage Services Limited,richardsonassociatesifa.co.uk,I - IFA,No,,
Sage Wealth Management Ltd,sagewm.co.uk,I - IFA,No,11-50,16
Harkertine Consultants Ltd,,,,,
Independent Financial Advice Bureau Limited,ifabureau.com,I - IFA,No,,
Hudson & Rogers Financial Planning Ltd,hudsonandrogersfinancial.co.uk,I - IFA,No,,
Mark Redpath,sjpp.co.uk/northbridge,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514
City Financial Solutions Limited,cityfinancialsolutions.com,I - IFA,No,1-10,3
Oracle Financial Planning Ltd,oraclefp.co.uk,I - IFA,No,11-50,11
DMH Private Wealth Limited,dmhwealth.co.uk,I - IFA,No,,
Manfield Wealth Management Limited,manfieldwealth.co.uk,I - IFA,No,,
Fairstone Financial Management Limited,fairstone.co.uk,I - DFM without Centralised Research; I - IFA,No,"501-1,000",564
Fairstone Private Wealth Limited,fairstone.co.uk/private-wealth,I - DFM without Centralised Research; I - IFA,No,"501-1,000",564
Fairstone Wealth Management Limited,fairstone.co.uk,I - DFM without Centralised Research; I - IFA,No,"501-1,000",564
Parlett Financial Limited,parlettfinancial.co.uk,I - IFA,No,,1
Prestige Financial Planners Limited,prestigefinancialplanners.co.uk,I - IFA,No,1-10,3
Centurion Financial Planning Limited,centurionfp.co.uk,I - IFA,No,,
Bloomfield Financial Limited,bloomfieldfinancial.co.uk,I - IFA,No,1,3
Lyons Financial Management 2001 Limited,lyonsfinancialmanagement.co.uk,I - IFA,No,,4
Advice & Solutions Ltd,advice-solutions.com,I - IFA,No,,
Kevin Wright,,,,,
Brown & Sutherland Associates Limited,brownandsutherland.co.uk,I - IFA,No,,
Consortium Wealth Management Limited,consortiumwmltd.co.uk,I - IFA,No,"1,001-5,000",3514
Wealth of Advice Ltd,wealthofadvice.co.uk,I - IFA,No,11-50,13
Primary Financial Management Limited,primaryfinancial.co.uk,I - IFA,No,,
Northumbria Financial Management Limited,northumbriafm.co.uk,I - IFA,No,1-10,4
Hedgehope Limited,hedgehope.co.uk,I - IFA,No,,
Dominic Middlemiss,djmfp.co.uk,I - IFA,No,,
KWM (FP) Ltd,kwmfp.co.uk,I - IFA,No,1-10,3
GCA Financial Planning Ltd,,,,,
Financial Dimensions UK Ltd,financialdimensions.co.uk,I - IFA,No,1-10,3
Matthew Lee Platt,mlpfinancial.co.uk,I - IFA,No,,5
Ian Harrison Independent Financial Services Limited,ianharrison-ifa.co.uk,I - IFA,No,,
Thoroughgood Advisors Limited,,,,,
Peter Bryce Curry,partnership.sjp.co.uk/partner/petercurry,I - IFA,No,"1,001-5,000",3514
Fathom Financial Limited,fathomfinancial.co.uk,I - IFA,No,11-50,11
Anchor Wealth Management Limited,anchorwmltd.co.uk,I - IFA,No,,
DMB Wealth Management Ltd,dmbwealthmanagement.co.uk,I - IFA,No,,3
T B Patterson Associates,,,,,
Principled Limited,principled.eco,I - IFA,No,1-10,2
