Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Foyle Financial Ltd,-,Yes,,2,foylefinancial.co.uk
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Yodelar Investments Limited,-,Yes,51-200,5,yodelar.com
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,KMC Wealth Management Ltd,-,Yes,2-10,2,kmcwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,James Armstrong,,,,,
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Neil Allan,-,Yes,,,derrymortgagecentre.com
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Brian Guy,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/brianguy
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Barry Guy,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514,sjpp.co.uk/barryguy
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Irvin H Osbourne,,,,,
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Strabane Mortgage Centre Ltd,I - IFA,No,,,strabanemortgagecentre.net
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Derek A Forsythe Financial Advisors Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Wallace Financial Services,,,,,
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Sharon Quinn,I - IFA,No,,,sharonquinnfp.co.uk
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Aidan O'Neill,,,,,
https://financialadvisers.co.uk/financial-planning/derry-londonderry/?pl_p=1&pl_m=40,Clarke Financial Planning Ltd,I - IFA,No,1-10,4,clarkefinancialplanning.co.uk
